rank,state,reported_rape_cases,rape_arrests,sex_offense_arrests,,
1,California,18116,2060,7258,,
2,Texas,16510,1769,1136,,
3,Florida,10934,1819,2921,,
4,Michigan,7835,761,486,,
5,New York,6674,701,1107,,
6,Ohio,5224,333,378,,
7,Illinois,4834,15,14,,
8,Colorado,4719,472,339,,
9,Tennessee,3638,342,445,,
10,Arizona,3545,324,1060,,
11,Virginia,3480,464,495,,
12,Washington,3464,521,476,,
13,North Carolina,3336,201,369,,
14,Missouri,3287,413,376,,
15,South Carolina,2985,414,239,,
16,Wisconsin,2955,735,992,,
17,Minnesota,2900,515,541,,
18,Georgia,2807,306,374,,
19,Arkansas,2699,281,77,,
20,Indiana,2539,152,285,,
21,Oklahoma,2460,145,320,,
22,Louisiana,2426,371,750,,
23,Nevada,2424,360,765,,
24,Massachusetts,2286,283,300,,
25,Maryland,2177,122,52,,
26,Utah,2126,291,498,,
27,Kentucky,2010,226,177,,
28,Oregon,1872,203,324,,
29,Iowa,1650,270,93,,
30,New Jersey,1640,328,778,,
31,Kansas,1469,125,128,,
32,Nebraska,1412,203,213,,
33,Alaska,1387,160,242,,
34,Idaho,1225,147,198,,
35,New Mexico,1192,48,19,,
36,Pennsylvania,1161,6,14,,
37,Alabama,1040,10,15,,
38,West Virginia,877,91,49,,
39,Connecticut,800,188,291,,
40,Mississippi,737,75,100,,
41,Montana,717,62,118,,
42,Hawaii,678,106,84,,
43,Maine,672,62,112,,
44,South Dakota,656,36,51,,
45,New Hampshire,626,71,100,,
46,District of Columbia,522,3,30,,
47,North Dakota,514,51,81,,
48,Rhode Island,497,72,55,,
49,Delaware,459,74,99,,
50,Wyoming,427,41,76,,
51,Vermont,304,66,34,,
