State,Population 2013,Total justice system,Police Protection,Judicial and legal,Corrections
Alabama,4829479,474.76,245.44,84.6,144.72
Alaska,736879,1295.47,513.27,320.84,461.36
Arizona,6624617,712.27,315.63,148.36,248.28
Arkansas,2958663,472.3,219.18,65.38,187.74
California,38335203,947.13,393.91,212.68,340.55
Colorado,5267603,673.23,317.84,130.06,225.34
Connecticut,3596003,698.02,318.21,196.56,183.25
Delaware,925395,876.17,346.09,225.32,304.75
District of Columbia,649165,1425.83,862.28,176.9,386.65
Florida,19582022,681.03,368.96,112.01,200.05
Georgia,9984938,574.59,237.54,108.69,228.37
Hawaii,1406481,605.41,275.8,186.71,142.9
Idaho,1612011,572.45,250.42,126.01,196.02
Illinois,12879505,651,381.49,112.81,156.7
Indiana,6569102,408.2,179.6,76.89,151.7
Iowa,3091930,490.88,224.01,112.32,154.55
Kansas,2892821,562.23,276.58,107.25,178.4
Kentucky,4400477,446.35,157.96,117.78,170.61
Louisiana,4626402,794.59,333.54,171.98,289.08
Maine,1329076,402.56,189.49,70.45,142.62
Maryland,5931129,825.64,389.66,137.85,298.13
Massachusetts,6706786,638.62,330.24,144.99,163.4
Michigan,9898982,626.07,255.35,117.04,253.69
Minnesota,5418521,593.17,308.24,123.2,161.73
Mississippi,2990482,484.93,225.19,84.41,175.34
Missouri,6042711,515.53,283.34,85.99,146.2
Montana,1014314,659.87,279.1,143.7,237.08
Nebraska,1868559,490.09,210.12,85.06,194.91
Nevada,2786464,805.64,392.03,166.43,247.19
New Hampshire,1322687,520.38,277.44,104,138.93
New Jersey,8899162,780.8,378.58,165.78,236.45
New Mexico,2085193,767.63,313.22,157.85,296.56
New York,19673546,998.63,474.37,201.68,322.59
North Carolina,9841590,559.18,307.5,75.54,176.13
North Dakota,724019,547.49,242.24,122.79,182.46
Ohio,11570022,586.05,279.82,147.24,159
Oklahoma,3852415,527.07,244.64,94.3,188.12
Oregon,3925751,706.43,291.81,143.99,270.63
Pennsylvania,12781338,662.47,258.27,135.6,268.6
Rhode Island,1053033,665.41,345.87,126.23,193.31
South Carolina,4767894,445.36,228.58,66.38,150.4
South Dakota,844922,502.03,207.31,101.38,193.34
Tennessee,6494821,536.05,271.89,99.83,164.33
Texas,26473525,554.62,247.9,96.77,209.96
Utah,2902663,536,230.24,128.34,177.42
Vermont,627140,633.83,303.7,114.42,215.72
Virginia,8262692,636.23,261.13,101.52,273.59
Washington,6968006,579.25,233.21,124.02,222.02
West Virginia,1853231,507.43,194.52,125.19,187.72
Wisconsin,5742854,673.79,313.6,103.2,256.99
Wyoming,582684,959.62,391.11,202.96,365.55
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2016 (NST-EST2016-01), December 2016.",,,,,
