Bureau of Justice Statistics,,,,,,,
Filename: jeee13t02.csv,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system by level of government, March 2013",,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 6/29/2018,,,,,,,
,,,,,,,
"Table 2.  Percent distribution of employment and payrolls for the justice system by level of government, March 2013",,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,
,,,,,,,
,,,,,Percent distribution,,
Activity,All governments,Federal government,State governments,Local governments,Federal government,State governments,Local governments
Total justice system:,,,,,,,
Total employees,2402791,292990,732213,1377588,12.2,30.5,57.3
Full time employees,-,-,703095,1236379,-,36.3,63.7
Full-time equivalent employment,-,-,716141,1294155,-,35.6,64.4
March payrolls,11728210,1689879,3382938,6655393,14.4,28.8,56.7
,,,,,,,
Police protection:,,,,,,,
Total employees,1153342,192213,101971,859158,16.7,8.8,74.5
Full time employees,-,-,99154,765777,-,11.5,88.5
Full-time equivalent employment,-,-,100242,803229,-,11.1,88.9
March payrolls,5971624,1003357,564336,4403931,16.8,9.5,73.7
,,,,,,,
Judicial and legal:,,,,,,,
Total employees,495115,62233,178004,254878,12.6,36,51.5
Full time employees,-,-,168705,221585,-,43.2,56.8
Full-time equivalent employment,-,-,173332,234502,-,42.5,57.5
March payrolls,2521931,460328,931771,1129832,18.3,36.9,44.8
,,,,,,,
Corrections:,,,,,,,
Total employees,754334,38544,452238,263552,5.1,60,34.9
Full time employees,-,-,435236,249017,-,63.6,36.4
Full-time equivalent employment,-,-,442567,256424,-,63.3,36.7
March payrolls,3234655,226194,1886831,1121630,7,58.3,34.7
Note: Local government data are estimates subject to sampling variability.,,,,,,,
The federal budget source provides only total employment for the federal government; that figure is included in the denominator used to compute the percent distribution of full time employees and full time equivalent employment for state and local governments.,,,,,,,
