Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee13t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,State and type of government
,,,,,,,,,,,,,,,,,,
"States-local, total",16100049,2109801,1939474,2010296,12.5,961129,864931,903471,44.9,432882,390290,407834,20.3,715790,684253,698991,34.8,"States-local, total"
State,4315482,732213,703095,716141,16.6,101971,99154,100242,14,178004,168705,173332,24.2,452238,435236,442567,61.8,State
"Local, total",11784567,1377588,1236379,1294155,11,859158,765777,803229,62.1,254878,221585,234502,18.1,263552,249017,256424,19.8,"Local, total"
Counties,2630879,697275,633285,659521,25.1,279795,251065,262034,39.7,192703,171014,179611,27.2,224777,211206,217876,33,Counties
Municipalities,2908210,643422,578477,605995,20.8,553130,498326,521826,86.1,54746,45595,49003,8.1,35546,34556,35166,5.8,Municipalities
,,,,,,,,,,,,,,,,,,
Alabama,283196,28557,26323,27429,9.7,14741,13543,14116,51.5,5331,4623,4955,18.1,8485,8157,8358,30.5,Alabama
State,89366,9750,9408,9637,10.8,1389,1389,1389,14.4,3388,3145,3316,34.4,4973,4874,4932,51.2,State
"Local, total",193830,18807,16915,17792,9.2,13352,12154,12727,71.5,1943,1478,1639,9.2,3512,3283,3426,19.3,"Local, total"
Counties,20931,8282,7321,7744,37,3943,3522,3702,47.8,1151,830,941,12.2,3188,2969,3101,40,Counties
Municipalities,38716,10348,9436,9849,25.4,9258,8496,8868,90,779,637,674,6.8,311,303,307,3.1,Municipalities
,,,,,,,,,,,,,,,,,,
Alaska,55308,5771,5518,5643,10.2,1935,1812,1864,33,1633,1576,1604,28.4,2203,2130,2175,38.5,Alaska
State,27345,4338,4182,4263,15.6,691,658,671,15.7,1526,1471,1497,35.1,2121,2053,2095,49.1,State
"Local, total",27963,1433,1336,1380,4.9,1244,1154,1193,86.4,107,105,107,7.8,82,77,80,5.8,"Local, total"
Boroughs,10884,172,114,118,1.1,131,73,77,65.3,30,30,30,25.4,11,11,11,9.3,Boroughs
Municipalities,16485,1190,1143,1177,7.1,1038,1000,1029,87.4,79,75,77,6.5,73,68,71,6,Municipalities
,,,,,,,,,,,,,,,,,,
Arizona,286281,45813,44670,45230,15.8,19826,19526,19672,43.5,10840,10215,10519,23.3,15147,14929,15039,33.3,Arizona
State,76865,13775,13645,13713,17.8,1924,1884,1901,13.9,2082,2010,2054,15,9769,9751,9758,71.2,State
"Local, total",209416,32038,31025,31517,15,17902,17642,17771,56.4,8758,8205,8465,26.9,5378,5178,5281,16.8,"Local, total"
Counties,32346,18348,17633,17978,55.6,5863,5788,5822,32.4,7153,6712,6923,38.5,5332,5133,5233,29.1,Counties
Municipalities,44312,13731,13412,13548,30.6,12063,11867,11958,88.3,1618,1496,1540,11.4,50,49,50,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Arkansas,169483,20376,18883,19417,11.5,8771,8100,8326,42.9,3485,2860,3068,15.8,8120,7923,8023,41.3,Arkansas
State,64056,8235,8057,8151,12.7,1230,1217,1224,15,1470,1319,1395,17.1,5535,5521,5532,67.9,State
"Local, total",105427,12141,10826,11266,10.7,7541,6883,7102,63,2015,1541,1673,14.8,2585,2402,2491,22.1,"Local, total"
Counties,13029,6276,5356,5612,43.1,2418,2026,2114,37.7,1364,1016,1103,19.7,2494,2314,2395,42.7,Counties
Municipalities,19722,5540,5205,5364,27.2,4866,4630,4760,88.7,612,514,542,10.1,62,61,62,1.2,Municipalities
,,,,,,,,,,,,,,,,,,
California,1713520,229348,217103,223288,13,102862,95845,99092,44.4,43119,40905,42037,18.8,83367,80353,82159,36.8,California
State,397348,69853,67473,68798,17.3,11155,10907,10944,15.9,6718,6148,6348,9.2,51980,50418,51506,74.9,State
"Local, total",1316172,159495,149630,154490,11.7,91707,84938,88148,57.1,36401,34757,35689,23.1,31387,29935,30653,19.8,"Local, total"
Counties,366481,102185,97345,99961,27.3,38833,36899,37977,38,33368,31839,32709,32.7,29984,28607,29275,29.3,Counties
Municipalities,223791,58712,53672,55968,25,54050,49211,51404,91.8,3027,2911,2969,5.3,1635,1550,1595,2.8,Municipalities
,,,,,,,,,,,,,,,,,,
Colorado,275717,33636,31836,32718,11.9,15226,14565,14847,45.4,7614,6677,7156,21.9,10796,10594,10715,32.7,Colorado
State,77637,13124,12486,12874,16.6,1235,1218,1226,9.5,4839,4275,4613,35.8,7050,6993,7035,54.6,State
"Local, total",198080,20512,19350,19844,10,13991,13347,13621,68.6,2775,2402,2543,12.8,3746,3601,3680,18.5,"Local, total"
Counties,28947,8957,8447,8691,30,4791,4539,4662,53.6,1418,1299,1353,15.6,2748,2609,2676,30.8,Counties
Municipalities,47036,11447,10818,11112,23.6,9092,8717,8919,80.3,1356,1108,1194,10.7,999,993,999,9,Municipalities
,,,,,,,,,,,,,,,,,,
Connecticut,187529,22930,21158,21707,11.6,10768,9405,9834,45.3,6448,6111,6198,28.6,5714,5642,5675,26.1,Connecticut
State,62634,14155,13523,13663,21.8,2165,1925,1957,14.3,6276,5956,6031,44.1,5714,5642,5675,41.5,State
"Local, total",124895,8775,7635,8044,6.4,8603,7480,7877,97.9,172,155,167,2.1,0,0,0,0,"Local, total"
Municipalities,57225,5147,4598,4815,8.4,5015,4477,4687,97.3,132,121,128,2.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Delaware,50089,7468,7154,7339,14.7,2652,2456,2571,35,1900,1826,1870,25.5,2916,2872,2898,39.5,Delaware
State,26691,5761,5647,5716,21.4,1065,1049,1058,18.5,1780,1726,1760,30.8,2916,2872,2898,50.7,State
"Local, total",23398,1707,1507,1623,6.9,1587,1407,1513,93.2,120,100,110,6.8,0,0,0,0,"Local, total"
Counties,2597,674,524,621,23.9,593,451,544,87.6,81,73,77,12.4,0,0,0,0,Counties
Municipalities,2777,1010,960,980,35.3,994,956,972,99.2,16,4,8,0.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
District of Columbia,45898,7979,7928,7966,17.4,4479,4477,4478,56.2,2176,2153,2168,27.2,1324,1298,1320,16.6,District of Columbia
"Local, total",45898,7979,7928,7966,17.4,4479,4477,4478,56.2,2176,2153,2168,27.2,1324,1298,1320,16.6,"Local, total"
Municipality,34152,7979,7928,7966,23.3,4479,4477,4478,56.2,2176,2153,2168,27.2,1324,1298,1320,16.6,Municipality
,,,,,,,,,,,,,,,,,,
Florida,867264,138719,130967,134344,15.5,64904,59013,61394,45.7,32570,31126,31964,23.8,41245,40828,40986,30.5,Florida
State,179485,48906,47487,48029,26.8,4443,4031,4128,8.6,19736,18982,19350,40.3,24727,24474,24551,51.1,State
"Local, total",687779,89813,83480,86315,12.5,60461,54982,57266,66.3,12834,12144,12614,14.6,16518,16354,16435,19,"Local, total"
Counties,167112,63498,59473,61154,36.6,36371,32880,34258,56,11951,11540,11781,19.3,15176,15053,15115,24.7,Counties
Municipalities,91057,25255,23050,24135,26.5,23490,21582,22432,92.9,811,567,780,3.2,954,901,923,3.8,Municipalities
,,,,,,,,,,,,,,,,,,
