Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee13t07.csv,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2013",,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,
,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2013",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,,Sworn,,,,,Nonsworn,,,,
,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,
State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls,Total, Full-time only,Number,Percent of total police protection full-time equivalent, March payrolls
,,,,,,,,,,,
"States-local, total",903471,708304,672060,686999,76,4093525,252825,192871,216472,24,874742
State,100242,63964,63371,63502,63.3,413768,38007,35783,36740,36.7,150568
"Local, total",803229,644340,608689,623497,77.6,3679757,214818,157088,179732,22.4,724173
Counties,262034,195773,181038,185981,71,988673,84022,70027,76053,29,312189
Municipalities,521826,432500,414370,423957,81.2,2613920,120630,83956,97869,18.8,391456
,,,,,,,,,,,
Alabama,14116,11248,10719,10994,77.9,43630,3493,2824,3122,22.1,8770
State,1389,719,719,719,51.8,3159,670,670,670,48.2,2076
"Local, total",12727,10529,10000,10275,80.7,40471,2823,2154,2452,19.3,6694
Counties,3702,3188,2884,3005,81.2,10948,755,638,697,18.8,1808
Municipalities,8868,7218,7002,7139,80.5,29022,2040,1494,1729,19.5,4823
,,,,,,,,,,,
Alaska,1864,1160,1106,1127,60.5,8566,775,706,737,39.5,3546
State,671,311,311,311,46.3,2591,380,347,360,53.7,1752
"Local, total",1193,849,795,816,68.4,5974,395,359,377,31.6,1794
Boroughs,77,112,54,57,74,391,19,19,20,26,104
Municipalities,1029,749,749,765,74.3,5593,289,251,264,25.7,1275
,,,,,,,,,,,
Arizona,19672,14054,14014,14029,71.3,79771,5772,5512,5643,28.7,24492
State,1901,1103,1103,1103,58,6107,821,781,798,42,3480
"Local, total",17771,12951,12911,12926,72.7,73664,4951,4731,4845,27.3,21012
Counties,5822,4535,4503,4513,77.5,19356,1328,1285,1309,22.5,5137
Municipalities,11958,8427,8417,8422,70.4,54368,3636,3450,3536,29.6,15902
,,,,,,,,,,,
Arkansas,8326,6559,6110,6253,75.1,22578,2212,1990,2073,24.9,5782
State,1224,552,552,552,45.1,2419,678,665,672,54.9,2148
"Local, total",7102,6007,5558,5701,80.3,20159,1534,1325,1401,19.7,3634
Counties,2114,1941,1633,1692,80,4861,477,393,422,20,1027
Municipalities,4760,3873,3744,3831,80.5,15454,993,886,929,19.5,2586
,,,,,,,,,,,
California,99092,71480,69162,70127,70.8,597706,31382,26683,28965,29.2,156744
State,10944,7751,7560,7570,69.2,66892,3404,3347,3374,30.8,13503
"Local, total",88148,63729,61602,62557,71,530814,27978,23336,25591,29,143241
Counties,37977,26808,25667,26208,69,198642,12025,11232,11769,31,65847
Municipalities,51404,37878,36831,37376,72.7,338574,16172,12380,14028,27.3,77239
,,,,,,,,,,,
Colorado,14847,10603,10473,10521,70.9,65049,4623,4092,4326,29.1,18776
State,1226,754,754,754,61.5,4559,481,464,472,38.5,2176
"Local, total",13621,9849,9719,9767,71.7,60491,4142,3628,3854,28.3,16600
Counties,4662,3291,3215,3260,69.9,18520,1500,1324,1402,30.1,6260
Municipalities,8919,6483,6431,6485,72.7,45552,2609,2286,2434,27.3,10906
,,,,,,,,,,,
Connecticut,9834,7867,7678,7748,78.8,57136,2901,1727,2086,21.2,9631
State,1957,1276,1274,1275,65.2,9977,889,651,682,34.8,3851
"Local, total",7877,6591,6404,6473,82.2,47159,2012,1076,1404,17.8,5779
Municipalities,4687,3928,3891,3916,83.6,28469,1087,586,771,16.4,2936
,,,,,,,,,,,
Delaware,2571,1990,1975,1982,77.1,12638,662,481,589,22.9,2304
State,1058,789,789,789,74.6,5502,276,260,269,25.4,1315
"Local, total",1513,1201,1186,1193,78.8,7135,386,221,320,21.2,989
Counties,544,411,411,413,75.9,2615,182,40,131,24.1,361
Municipalities,972,790,775,783,80.6,4514,204,181,189,19.4,628
,,,,,,,,,,,
District of Columbia,4478,3903,3903,3903,87.2,27513,576,574,575,12.8,3355
"Local, total",4478,3903,3903,3903,87.2,27513,576,574,575,12.8,3355
Municipality,4478,3903,3903,3903,87.2,27509,576,574,575,12.8,3354
,,,,,,,,,,,
Florida,61394,40999,40101,40463,65.9,223874,23905,18912,20931,34.1,79933
State,4128,2402,2165,2204,53.4,9196,2041,1866,1924,46.6,6554
"Local, total",57266,38597,37936,38259,66.8,214678,21864,17046,19007,33.2,73379
Counties,34258,20713,20467,20583,60.1,115295,15658,12413,13675,39.9,51719
Municipalities,22432,17032,16660,16836,75.1,97083,6458,4922,5596,24.9,21688
,,,,,,,,,,,
Georgia,28019,22996,22162,22529,80.4,83830,5967,5161,5490,19.6,16700
State,3032,1763,1760,1761,58.1,5616,1292,1237,1271,41.9,4073
"Local, total",24987,21233,20402,20768,83.1,78214,4675,3924,4219,16.9,12627
Counties,12177,10511,9969,10144,83.3,38829,2182,1936,2033,16.7,6023
Municipalities,12770,10767,10477,10623,83.2,39628,2447,1964,2147,16.8,6508
,,,,,,,,,,,
Hawaii,3811,2985,2960,2964,77.8,20082,957,815,847,22.2,3210
State,0,0,0,0,-,0,0,0,0,-,0
"Local, total",3811,2985,2960,2964,77.8,20082,957,815,847,22.2,3210
Counties,1225,947,922,926,75.6,6408,345,281,299,24.4,1107
Municipalities,2592,2038,2038,2038,78.6,13674,613,534,554,21.4,2114
,,,,,,,,,,,
Idaho,4117,2920,2832,2862,69.5,13913,1356,1189,1255,30.5,4265
State,480,271,271,271,56.5,1415,218,201,209,43.5,795
"Local, total",3637,2649,2561,2591,71.2,12498,1138,988,1046,28.8,3470
Counties,1565,950,907,918,58.7,3965,703,611,647,41.3,2040
Municipalities,2073,1701,1656,1672,80.7,8543,437,378,401,19.3,1430
,,,,,,,,,,,
Illinois,40808,34741,31734,32813,80.4,213974,10768,6444,7995,19.6,35158
State,3194,1957,1957,1957,61.3,15104,1247,1229,1237,38.7,7747
"Local, total",37614,32784,29777,30856,82,198870,9521,5215,6758,18,27411
Counties,4967,4299,3305,3440,69.3,20010,1672,1456,1527,30.7,6413
Municipalities,45438,40605,38588,39460,86.8,262597,8623,4533,5978,13.2,22463
,,,,,,,,,,,
Indiana,15768,12056,11506,11683,74.1,53604,5082,3675,4085,25.9,11986
State,1900,1325,1325,1325,69.7,6649,575,575,575,30.3,1994
"Local, total",13868,10731,10181,10358,74.7,46955,4507,3100,3510,25.3,9992
Counties,3308,2503,2236,2272,68.7,9156,1247,923,1036,31.3,2773
Municipalities,10519,8284,8001,8087,76.9,36087,3240,2157,2432,23.1,7153
,,,,,,,,,,,
Iowa,6917,5570,5191,5284,76.4,27024,1977,1460,1633,23.6,6311
State,940,648,646,646,68.7,3829,305,289,294,31.3,1533
"Local, total",5977,4922,4545,4638,77.6,23195,1672,1171,1339,22.4,4778
Counties,2151,1555,1428,1454,67.6,7012,782,658,697,32.4,2485
Municipalities,3850,3349,3105,3166,82.2,16107,941,563,684,17.8,2523
,,,,,,,,,,,
Kansas,8723,6388,5956,6075,69.6,28453,2896,2482,2648,30.4,9375
State,1073,314,291,304,28.3,1537,788,754,769,71.7,3114
"Local, total",7650,6074,5665,5771,75.4,26917,2108,1728,1879,24.6,6261
Counties,2277,1619,1505,1529,67.1,6953,794,716,748,32.9,2444
Municipalities,5350,4453,4158,4224,79,19970,1316,1012,1126,21,3821
,,,,,,,,,,,
Kentucky,9645,7740,7359,7553,78.3,32380,2370,1898,2092,21.7,6331
State,2119,1086,1085,1085,51.2,4843,1036,1031,1034,48.8,3582
"Local, total",7526,6654,6274,6468,85.9,27537,1334,867,1058,14.1,2750
Counties,1389,1230,1108,1156,83.2,4371,303,194,233,16.8,523
Municipalities,6130,5416,5161,5305,86.5,23169,1028,677,825,13.5,2236
,,,,,,,,,,,
Louisiana,17489,13490,12630,13018,74.4,51288,5030,3778,4471,25.6,14050
State,1743,1182,1151,1168,67,7030,589,555,575,33,2277
"Local, total",15746,12308,11479,11850,75.3,44258,4441,3223,3896,24.7,11772
