Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee13t10.csv,,,,,,,,,,
"Table 10. Detail of direct expenditure for correctional activities of state governments by character and object, fiscal 2013",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 10. Detail of direct expenditure for correctional activities of state governments by character and object, fiscal 2013",,,,,,,,,,
(Dollar amounts in thousands.),,,,,,,,,,
,,,,,,,,,,
,,Institutions,,,,,,,,
,,,,Capital outlay,,,Other corrections,,,
State,Total corrections direct expenditure,Total,Direct current,Construction,Other,Percent of total corrections direct expenditure,Total,Direct current,Capital outlay,Percent of total corrections direct expenditure
Total,46092590,38862335,37605293,901399,355643,84.3,7230255,7141652,88603,15.7
,,,,,,,,,,
Alabama,491940,424729,414130,4085,6514,86.3,67211,67057,154,13.7
Alaska,335234,284113,283787,71,255,84.8,51121,35929,15192,15.2
Arizona,987587,915186,899880,2608,12698,92.7,72401,69934,2467,7.3
Arkansas,403422,346174,346174,0,0,85.8,57248,57248,0,14.2
California,7657424,6620373,6473192,139446,7735,86.5,1037051,1035962,1089,13.5
,,,,,,,,,,
Colorado,842576,589970,584179,459,5332,70,252606,250291,2315,30
Connecticut,658973,642140,627501,11936,2703,97.4,16833,16429,404,2.6
Delaware,282015,225362,224052,0,1310,79.9,56653,56100,553,20.1
Florida,2145818,1628810,1623859,0,4951,75.9,517008,515171,1837,24.1
Georgia,1451079,1098882,1037178,46393,15311,75.7,352197,345285,6912,24.3
,,,,,,,,,,
Hawaii,200984,195892,195404,2,486,97.5,5092,5078,14,2.5
Idaho,242705,203575,196224,5975,1376,83.9,39130,39058,72,16.1
Illinois,1327176,1171059,1148881,19513,2665,88.2,156117,155354,763,11.8
Indiana,645255,633027,622532,2493,8002,98.1,12228,12053,175,1.9
Iowa,333452,320712,257661,59517,3534,96.2,12740,12600,140,3.8
,,,,,,,,,,
Kansas,301605,269478,263465,3308,2705,89.3,32127,30198,1929,
Kentucky,512520,458859,456142,19,2698,89.5,53661,53448,213,10.7
Louisiana,525827,398527,394408,3716,403,75.8,127300,127252,48,10.5
Maine,121647,75329,75274,0,55,61.9,46318,45046,1272,24.2
Maryland,1389817,999772,969528,24651,5593,71.9,390045,385135,4910,38.1
,,,,,,,,,,28.1
Massachusetts,1095858,939019,905887,26199,6933,85.7,156839,155688,1151,
Michigan,1823067,1489628,1488954,79,595,81.7,333439,333215,224,14.3
Minnesota,450146,298071,286656,505,10910,66.2,152075,151032,1043,18.3
Mississippi,324366,297411,295869,301,1241,91.7,26955,26614,341,33.8
Missouri,698385,620580,610928,4547,5105,88.9,77805,77311,494,8.3
,,,,,,,,,,11.1
Montana,191150,149398,147688,655,1055,78.2,41752,41473,279,
Nebraska,246519,103436,102615,786,35,42,143083,142304,779,21.8
Nevada,277585,229667,218258,10090,1319,82.7,47918,46762,1156,58
New Hampshire,112422,82577,80826,1590,161,73.5,29845,29702,143,17.3
New Jersey,1392430,1028868,1018496,6718,3654,73.9,363562,357794,5768,26.5
,,,,,,,,,,26.1
New Mexico,397533,275682,272991,1854,837,69.3,121851,121654,197,
New York,3260304,3048435,2841076,134942,72417,93.5,211869,207743,4126,30.7
North Carolina,1209882,1077560,1033189,34665,9706,89.1,132322,131471,851,6.5
North Dakota,96142,95563,77377,15839,2347,99.4,579,573,6,10.9
Ohio,1363708,1052901,1010653,25511,16737,77.2,310807,307883,2924,0.6
,,,,,,,,,,22.8
Oklahoma,568502,472960,458919,4057,9984,83.2,95542,93288,2254,
Oregon,620393,508357,494205,8090,6062,81.9,112036,108524,3512,16.8
Pennsylvania,2059492,1948401,1726633,212227,9541,94.6,111091,109081,2010,18.1
Rhode Island,182888,150375,146922,3209,244,82.2,32513,32252,261,5.4
South Carolina,490131,454531,451747,2741,43,92.7,35600,35563,37,17.8
,,,,,,,,,,7.3
South Dakota,115408,108004,105980,1843,181,93.6,7404,5521,1883,
Tennessee,648851,556461,551776,89,4596,85.8,92390,92177,213,6.4
Texas,3564252,3298692,3218363,13048,67281,92.5,265560,264893,667,14.2
Utah,310560,198370,195257,7,3106,63.9,112190,110813,1377,7.5
Vermont,135127,61867,61500,7,360,45.8,73260,73145,115,36.1
,,,,,,,,,,54.2
Virginia,1210546,938994,927032,941,11021,77.6,271552,261825,9727,
Washington,954986,671747,619702,36205,15840,70.3,283239,280521,2718,22.4
West Virginia,297777,271049,258960,9330,2759,91,26728,23497,3231,29.7
Wisconsin,994793,819150,791578,21029,6543,82.3,175643,175169,474,9
Wyoming,142331,112612,111805,103,704,79.1,29719,29536,183,17.7
