Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee13t14.csv,,,,,,,,,,,
"Table 14. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2013",,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,
,,,,,,,,,,,
"Table 14. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2013",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,Sworn,,,,,,Nonsworn,,,,
,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,
County,Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls,Average earnings of full-time employees($),Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls
"Alameda, CA",888,888,888,58.9,9234,10398,625,610,620,41.1,3189
"Allegheny, PA",200,200,200,37.3,1372,6859,336,336,336,62.7,1851
"Baltimore, MD",1910,1910,1910,77,11884,6222,791,472,571,23,1495
"Bergen, NJ",157,157,157,66.5,1415,9013,86,75,79,33.5,424
"Bexar, TX",527,525,526,67.7,2448,4656,251,251,251,32.3,856
"Broward, FL",1422,1422,1422,55.4,9106,6403,1160,1117,1145,44.6,5300
"Clark, NV",2520,2520,2520,61.1,18806,7463,2083,1523,1607,38.9,8374
,,,,,,,,,,,
"Contra Costa, CA",611,611,611,66.9,5410,8854,305,300,302,33.1,1625
"Cook, IL",500,477,480,62.7,3693,7725,308,283,285,37.3,1265
"Cuyahoga, OH",160,160,160,27.2,556,3477,429,429,429,72.8,1930
"Dade, FL",3043,3036,3043,70.7,22856,7521,1536,991,1261,29.3,7043
"Dallas, TX",366,366,366,52.5,1651,4511,331,330,331,47.5,1337
"DeKalb, GA",1212,1211,1212,89.1,5251,4335,149,147,148,10.9,504
"Delaware, PA",49,49,49,100,162,3306,0,0,0,-,0
,,,,,,,,,,,
"Du Page, IL",233,233,233,71,1551,6657,98,92,95,29,389
"Erie, NY",149,141,144,74.2,882,6194,51,47,50,25.8,185
"Essex, NJ",339,339,339,82.1,2557,7542,75,73,74,17.9,555
"Fairfax, VA",1355,1353,1354,82,10706,7908,340,255,297,18,1538
"Franklin, OH",380,380,380,71,2380,6263,157,153,155,29,639
"Fresno, CA",449,448,449,48.5,2574,5737,497,459,477,51.5,2645
"Fulton, GA",157,157,157,86.3,805,5129,25,25,25,13.7,84
,,,,,,,,,,,
"Hamilton, OH",157,157,157,56.7,893,5685,130,116,120,43.3,589
"Harris, TX",2421,2166,2415,44.8,10161,4398,2980,2980,2980,55.2,13110
"Hennepin, MN",329,329,329,51.8,2164,6578,314,294,306,48.2,1570
"Hillsborough, FL",1239,1239,1239,62.8,7457,6018,964,691,733,37.2,2848
"Hudson, NJ",223,223,223,69,1704,7639,105,96,100,31,357
"Jackson, MO",93,92,93,71,399,4323,42,34,38,29,88
"Jefferson, AL",372,371,372,96.4,1835,4938,15,14,14,3.6,83
,,,,,,,,,,,
"King, WA",672,669,670,68.5,6387,9536,308,302,308,31.5,1747
"Lake, IN",151,151,151,52.4,632,4186,140,129,137,47.6,364
"Los Angeles, CA",6554,6271,6349,68.3,44302,6992,3036,2905,2946,31.7,20488
"Macomb, MI",316,252,281,92.4,1378,5200,23,23,23,7.6,94
"Maricopa, AZ",2540,2540,2540,82.7,10494,4131,533,522,530,17.3,2387
"Middlesex, NJ",226,226,226,98.7,1638,7250,3,3,3,1.3,14
"Milwaukee, WI",329,323,325,82.5,1794,5532,69,69,69,17.5,412
,,,,,,,,,,,
"Monmouth, NJ",105,105,105,42.7,966,9203,155,134,141,57.3,733
