Bureau of Justice Statistics,,,,,,,,
Filename: jeee13t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 6/29/2018,,,,,,,,
,,,,,,,,
Table 18.  Supplemental data for state governments,,,,,,,,
,,,,,,,,
,,"Personal income, calendar year 2013/a",,"Expenditures, fiscal 2013 (thousands of dollars)",,,,
,,,,All functions,,,Full-time equivalent employment 3/1/2013,
State,Estimated population as of 7/1/2013 (thousands),Amount (millions of dollars),Per capita,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
Total,316205,14068960,44493,2004244447,1516450703,1672339867,4315482,4270333
,,,,,,,,
Alabama,4829,172790,35782,28203758,21727685,24601701,89366,88643
Alaska,737,37916,51446,12214628,10182567,10707194,27345,27345
Arizona,6625,242182,36556,32168342,24887639,27950540,76865,76857
Arkansas,2959,106466,35980,19522161,14584692,17554227,64056,64056
California,38335,1861957,48571,283572491,188503030,232072614,397348,397348
,,,,,,,,
Colorado,5268,246648,46820,28743913,22452523,23189078,77637,77637
Connecticut,3596,230615,64131,29304171,24395625,23719158,62634,62634
Delaware,925,40566,43855,8648250,7376891,7782971,26691,25819
Florida,19582,798886,40797,80496741,62687199,70867265,179485,178753
Georgia,9985,371156,37171,45483420,35122061,38652633,130557,130557
,,,,,,,,
Hawaii,1406,62784,44655,11506877,11256867,10127270,56810,56810
Idaho,1612,57581,35720,8530858,6549199,7375741,22970,22728
Illinois,12880,600783,46645,75324720,59775553,60061097,127253,127253
Indiana,6569,257170,39149,36674976,27501519,33276468,84101,84101
Iowa,3092,133536,43188,20517934,15764288,17865452,49833,49833
,,,,,,,,
Kansas,2893,132684,45864,16436706,12379202,14515864,49640,49640
Kentucky,4400,156589,35588,28887783,24085092,24457976,85277,85277
Louisiana,4626,185534,40107,32050417,25949912,27812736,76806,76806
Maine,1329,52725,39672,8950407,7711789,7876981,21152,21151
Maryland,5931,312370,52667,39594151,30952870,33741106,86943,86228
,,,,,,,,
Massachusetts,6707,383510,57181,56766921,47365673,46165525,97203,96661
Michigan,9899,388175,39214,62945176,43555522,53269915,142960,142960
Minnesota,5419,256040,47249,39950130,26974215,34799528,80739,78082
Mississippi,2990,99663,33332,20101926,15048856,17386707,57846,57672
Missouri,6043,240825,39852,30450510,24678708,25982989,86712,86712
,,,,,,,,
Montana,1014,40074,39521,7073540,5700471,6044752,20799,20769
Nebraska,1869,85723,45866,9880837,7710207,9182724,31976,31976
Nevada,2786,108504,38946,13273807,9059226,10638440,27233,27195
New Hampshire,1323,68262,51596,7420420,6119650,6207431,18556,17966
New Jersey,8899,494040,55516,67362610,56260341,50052284,144475,133288
,,,,,,,,
New Mexico,2085,72466,34756,17200474,12699840,15002115,44666,44666
New York,19674,1072125,54495,183494450,127257913,142113977,239452,223080
North Carolina,9842,372141,37811,53625862,40453222,45998978,145421,145421
North Dakota,724,40296,55658,6409653,4777337,5786402,19238,19238
Ohio,11570,470745,40687,76300366,59779153,59464496,137045,137045
,,,,,,,,
Oklahoma,3852,164437,42689,22920374,18707163,19577427,67837,67263
Oregon,3926,155148,39518,26850084,21354747,21411847,66229,65980
Pennsylvania,12781,589492,46122,87532654,68698329,71282809,159018,154590
Rhode Island,1053,48772,46317,8189015,7018575,6562768,18456,17702
South Carolina,4768,168268,35291,28245704,22791696,22331442,78857,77050
,,,,,,,,
South Dakota,845,37709,44626,4476725,3736621,4011086,14442,14442
Tennessee,6495,252091,38813,30586320,23511638,27829146,80587,80587
Texas,26474,1148929,43398,124109009,96518714,108013679,304828,304828
Utah,2903,104664,36054,16822400,13753318,14956224,53868,53517
Vermont,627,28593,45602,6018247,4516590,5584894,14314,14262
,,,,,,,,
Virginia,8263,400660,48488,47614065,36358360,42209552,125234,123370
Washington,6968,333169,47814,45196613,35469066,37778485,117911,117822
West Virginia,1853,64207,34650,13234155,10764620,11708850,41120,41060
Wisconsin,5743,245382,42727,37524804,27887557,31740695,72347,72347
Wyoming,583,30718,52689,5834892,4077172,5036628,13344,13306
Note: Local government data are estimates subject to variability.,,,,,,,,
"Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2016 (NST-EST2016-01), December 2016.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 2013.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities, and state-operated liquor stores.",,,,,,,,
