Bureau of Justice Statistics,,,,,,
Filename: jeee13t19.csv,,,,,,
"Table 19. Supplemental data for 68 large county governments, final",,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013, Final, NCJ 250327",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 6/29/2018,,,,,,
,,,,,,
"Table 19. Supplemental data for 68 large county governments, final",,,,,,
,,,,,,
,,"Expenditures, fiscal 2013 (thousands of dollars)",,,,
,,All functions,,,"Full-time equivalent employment, March 2013",
County,Population 2013/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
"Alameda, CA",1583845,3550050,3548230,3059008,11759,11759
"Allegheny, PA",1233814,1653693,1566621,1538212,6882,6882
"Baltimore, MD",824130,3528483,3455102,3157515,26401,26401
"Bergen, NJ",926284,1118043,1079476,1118043,4788,4788
"Bexar, TX",1823749,1759067,1738961,1759067,10800,10800
"Broward, FL",1843583,2138136,2138136,1945823,11115,9953
"Clark, NV",2028421,4929322,4862446,4384354,17843,16257
,,,,,,
"Contra Costa, CA",1095959,2833932,2779459,2482544,7647,7647
"Cook, IL",5246731,3671529,3658741,3103971,23274,23274
"Cuyahoga, OH",1263796,2037933,1992057,2037933,13388,13388
"Dade, FL",2641928,8490811,8294022,7841518,36815,32451
"Dallas, TX",2485781,2483067,2483067,2458262,17298,17298
"DeKalb, GA",715824,924709,924709,702640,6399,5799
"Delaware, PA",561619,673589,666790,634264,2866,2866
,,,,,,
"Du Page, IL",932096,403169,391713,400597,2433,2433
"Erie, NY",921794,2038728,1602243,1934815,7969,7805
"Essex, NJ",790935,878768,806246,878636,4747,4747
"Fairfax, VA",1134972,5930340,5761887,4951547,41031,40627
"Franklin, OH",1215200,911877,901905,909790,6071,6071
"Fresno, CA",955217,1721669,1675499,1501152,7570,7570
"Fulton, GA",984440,1161067,876599,961992,5491,5463
,,,,,,
"Hamilton, OH",804083,1001334,899916,1001334,4731,4731
"Harris, TX",4352462,4441512,4441469,4441305,25668,25654
"Hennepin, MN",1199581,2472385,2316486,2304510,7420,7420
"Hillsborough, FL",1294039,1776034,1736138,1573305,9462,9082
"Hudson, NJ",663565,887174,543984,887174,4323,4323
"Jackson, MO",680290,258751,258751,250241,1214,1214
"Jefferson, AL",658913,689167,689167,598768,3154,3154
,,,,,,
"King, WA",2047618,2765753,2761676,2012569,12980,8913
"Lake, IN",491560,193640,193606,193640,2433,2433
"Los Angeles, CA",10045175,23102305,22960831,20481521,100208,100111
"Macomb, MI",855674,711381,701197,657368,2604,2604
"Maricopa, AZ",4015328,1726271,1556774,1725859,12827,12827
"Middlesex, NJ",831107,738916,733154,738916,3581,3581
"Milwaukee, WI",957286,1498620,1498620,1142163,6637,5615
,,,,,,
"Monmouth, NJ",629304,706909,680488,706843,5106,5106
"Monroe, NY",750414,1671119,1301371,1555088,5880,5670
"Montgomery, MD",1019164,6593126,6250259,5761692,35168,34191
"Montgomery, OH",534336,663398,628499,618439,4060,3885
"Montgomery, PA",813704,565868,540525,533725,3352,3352
"Multnomah, OR",766589,933955,899783,933955,4574,4574
"Nassau, NY",1354842,3873696,3514640,3836772,13575,13575
,,,,,,
"Norfolk, MA",688826,86558,86558,43529,111,111
"Oakland, MI",1232713,1137961,1059052,1055617,3859,3859
"Oklahoma, OK",755921,151329,151329,151329,2160,2160
"Orange, CA",3120180,4047651,3999317,3478389,17776,17776
"Orange, FL",1227607,1743468,1687461,1660041,10230,9749
"Palm Beach, FL",1375826,2127610,2057166,1973631,10746,10226
"Pima, AZ",997418,1169054,1147274,1148842,6529,6472
,,,,,,
"Pinellas, FL",929683,1080352,1004217,991009,5397,5153
"Prince Georges, MD",892941,4269872,4200636,3904581,28626,28359
"Riverside, CA",2295816,3671314,3660065,3671314,20904,20904
"Sacramento, CA",1462338,2913022,2862001,2537582,11762,11343
"St. Louis, MO",1001295,728036,605325,556374,3908,3908
"Salt Lake, UT",1081155,750001,750001,750001,5418,5418
"San Bernardino, CA",2091599,3832371,3666119,3462102,19262,19261
,,,,,,
"San Diego, CA",3223645,4557742,4319891,4014458,19229,19229
"San Mateo, CA",750109,1579389,1516983,1424373,5805,5805
"Santa Clara, CA",1871140,4315091,4249589,4315091,18028,18028
"Shelby, TN",939074,1979730,1475485,1893201,13363,13363
"Suffolk, NY",1502288,3578182,3306302,3287226,12938,12367
"Summit, OH",542195,563629,563262,563629,3567,3567
,,,,,,
"Tarrant, TX",1913437,1628479,1628479,1628479,12244,12244
"Travis, TX",1121968,829808,829808,829808,5590,5590
"Union, NJ",549340,664113,629728,664113,3836,3836
"Ventura, CA",840964,2103044,2011012,1861581,8882,8829
"Wayne, MI",1775713,1954125,1637312,1819776,4225,4225
"Westchester, NY",968826,3414056,3063893,3259585,9547,9505
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2015 (May 2016).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
