Bureau of Justice Statistics,,,,,,
Filename: jeee13t20.csv,,,,,,
Table 20. Supplemental data for 49 large city governments,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 6/29/2018,,,,,,
,,,,,,
Table 20. Supplemental data for 49 large city governments,,,,,,
,,,,,,
,,"Expenditures, fiscal year 2013 (thousands of dollars)",,,,
,,All functions,,,"Full-time equivalent employment, March 2013",
City,"Population, 2013/a",Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
"Albuquerque, NM",556880,1070222,1070222,890220,6371,5635
"Atlanta, GA",448312,2228763,2227555,1502533,7697,7441
"Austin, TX",886406,3316226,3316226,1621470,12665,10554
"Baltimore, MD",623215,4165287,4101163,3697673,25524,24745
"Baton Rouge, LA",229422,1355211,1344925,1245804,7717,7557
"Boston, MA",651710,3819306,3499532,3096326,19690,19486
,,,,,,
"Buffalo, NY",259753,1525146,1523745,1514172,9009,8911
"Charlotte, NC",793480,1720807,1708149,1390864,7237,6156
"Chicago, IL",2722236,9498193,9498193,7390295,31514,29706
"Cincinnati, OH",297409,1112903,1111038,782740,5352,4810
"Cleveland, OH",391142,1261291,1251766,822996,7327,5973
"Columbus, OH",824582,1621476,1620344,1332363,8204,7634
,,,,,,
"Dallas, TX",1260432,3498256,3486945,2712270,14328,13088
"Denver, CO",648411,2754192,2754192,2370372,12180,11054
"Detroit, MI",689950,3108260,3099271,2088847,11917,9300
"El Paso, TX",677703,850946,850946,603098,6374,5648
"Fort Worth, TX",794682,1503037,1503037,1137563,6223,5595
"Honolulu, HI",986802,2241218,2241218,1504557,9228,8685
,,,,,,
"Houston, TX",2216460,4624080,4565769,3699906,21143,20302
"Indianapolis, IN",843532,4014542,3992806,2864700,13155,11610
"Jacksonville, FL",844246,4051929,3899888,1845398,9571,7609
"Kansas City, MO",467251,1915308,1863450,1618490,6376,5866
"Long Beach, CA",470536,1969443,1969443,1729609,5293,4245
"Los Angeles, CA",3902005,15775702,15773116,8926235,51919,42994
,,,,,,
"Memphis, TN",658310,4235636,4234491,2186114,24096,20961
"Miami, FL",421410,896882,896882,696251,3812,3812
"Milwaukee, WI",600071,1349438,1310271,979068,6614,6296
"Minneapolis, MN",400478,1097687,1045768,952616,5039,4798
"Nashville, TN",635243,3824453,3824235,2306369,21036,19635
"Newark, NJ",279499,800331,741102,757474,3675,3574
,,,,,,
"New Orleans, LA",378921,1745424,1745424,1578738,6252,5289
"New York, NY",8436047,107270000,98902971,80909611,407756,359699
"Oakland, CA",407885,1662804,1662804,1602882,3889,3889
"Oklahoma City, OK",611247,1170040,1170040,887853,4499,3982
"Omaha, NE",440870,622010,607886,533220,2848,2848
"Philadelphia, PA",1556686,7071456,6911887,5409328,29451,26542
,,,,,,
"Phoenix, AZ",1513408,3189116,3176573,2496377,13346,12245
"Pittsburgh, PA",306907,623205,623205,540155,3142,3142
"Portland, OR",610055,1616612,1616612,1276377,6079,5481
"St. Louis, MO",318157,1390658,1354959,1174184,6162,5815
"San Antonio, TX",1412979,4743658,4743658,1779985,15768,11032
"San Diego, CA",1360456,3097583,3091856,2124666,9286,8609
,,,,,,
"San Francisco, CA",840715,9784942,9782054,6716884,30219,24575
"San Jose, CA",1003828,1743159,1713162,1361093,5184,4770
"Seattle, WA",653713,2914043,2762292,1666704,10683,8113
"Toledo, OH",282277,453780,421424,400249,2132,1847
"Tucson, AZ",528119,1101845,1101845,676819,4794,4311
"Tulsa, OK",398744,875201,874374,715726,3991,3451
"Washington, DC",649540,12663897,12251447,11556724,34691,34302
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2015 (May 2016).",,,,,,
"b/""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
