"","state","Police_protection","Correction","pop","police_correction_per_capita","year"
"1","Alabama",1345168,827812,4907965,442.7456186016,2019
"2","Alaska",383192,338387,733603,983.609663537363,2019
"3","Arizona",2885044,1842449,7291843,648.326218762527,2019
"4","Arkansas",713112,519632,3020985,408.060284973279,2019
"5","California",20609112,15146221,39437610,906.63032065077,2019
"6","Colorado",2123285,1444745,5758486,619.612516206517,2019
"7","Connecticut",1246591,646430,3566022,530.84950120891,2019
"8","Delaware",373200,358863,976668,749.551536448414,2019
"9","District of Columbia",657169,257240,708253,1291.07677623674,2019
"10","Florida",9406340,4795668,21492056,660.802670530916,2019
"11","Georgia",2943596,2175217,10628020,481.633737986944,2019
"12","Hawaii",506957,241512,1415615,528.723558312112,2019
"13","Idaho",481628,450498,1789060,521.014387443686,2019
"14","Illinois",5599246,2383957,12667017,630.235437435665,2019
"15","Indiana",1563196,1111208,6731010,397.325809945313,2019
"16","Iowa",874584,460739,3159596,422.624601373087,2019
"17","Kansas",1026031,513083,2912635,528.426665201785,2019
"18","Kentucky",818618,913068,4472345,387.198661999466,2019
"19","Louisiana",1619988,979555,4658285,558.047221241294,2019
"20","Maine",330889,241354,1345770,425.216047318635,2019
"21","Maryland",2966081,1959718,6054954,813.515511430805,2019
"22","Massachusetts",2356586,1605155,6894883,574.591476026497,2019
"23","Michigan",2795036,2580288,9984795,538.350962638692,2019
"24","Minnesota",2329652,1152150,5640053,617.334978944347,2019
"25","Mississippi",782916,509458,2978227,433.940730508453,2019
"26","Missouri",2083211,972604,6140475,497.651240335642,2019
"27","Montana",350823,258591,1070123,569.480330765716,2019
"28","Nebraska",557077,551494,1932571,573.624979366864,2019
"29","Nevada",1401568,809402,3090771,715.345782654231,2019
"30","New Hampshire",486833,219888,1360783,519.348786691192,2019
"31","New Jersey",3704895,2211230,8891258,665.386720304371,2019
"32","New Mexico",766621,801141,2099634,746.683469595177,2019
"33","New York",10745601,6253231,19463131,873.386301515414,2019
"34","North Carolina",3458275,2106280,10501384,529.887774792351,2019
"35","North Dakota",239501,175685,763724,543.63356395766,2019
"36","Ohio",3928384,2353619,11696507,537.083678058757,2019
"37","Oklahoma",1094437,757398,3960676,467.555286016831,2019
"38","Oregon",1509894,1438297,4216116,699.267050527073,2019
"39","Pennsylvania",4433170,3791160,12798883,642.581856557326,2019
"40","Rhode Island",498047,251473,1058158,708.325221753273,2019
"41","South Carolina",1390348,787236,5157702,422.200429571154,2019
"42","South Dakota",218710,194369,887127,465.636825392531,2019
"43","Tennessee",2266479,1178648,6830325,504.386980121737,2019
"44","Texas",8818263,6344208,28986794,523.082028319517,2019
"45","Utah",921999,600819,3203383,475.378061255866,2019
"46","Vermont",213891,143334,624046,572.433762895684,2019
"47","Virginia",2553865,2831862,8556642,629.420630195817,2019
"48","Washington",2347667,1810019,7614024,546.056329741015,2019
"49","West Virginia",426096,396632,1795263,458.27714379453,2019
"50","Wisconsin",1899912,1516586,5824581,586.565454236107,2019
"51","Wyoming",226092,223774,580116,775.4759392949,2019
