state,score,,,,,
Massachusetts,72.79,,,,,
Connecticut,66.22,,,,,
New Jersey,64.05,,,,,
Virginia,61.79,,,,,
Maryland,60.67,,,,,
Delaware,60.05,,,,,
New Hampshire,59.19,,,,,
North Dakota,58.42,,,,,
Nebraska,58.12,,,,,
Wisconsin,58.03,,,,,
Vermont,56.71,,,,,
Maine,56.09,,,,,
Utah,55.53,,,,,
Florida,55.35,,,,,
Minnesota,55.21,,,,,
Rhode Island,55.17,,,,,
New York,54.86,,,,,
Pennsylvania,54.32,,,,,
Iowa,54.25,,,,,
Wyoming,54.23,,,,,
Kentucky,53.94,,,,,
Indiana,53.52,,,,,
Illinois,53.23,,,,,
Colorado,52.62,,,,,
Montana,51.55,,,,,
South Dakota,51.19,,,,,
Texas,49.36,,,,,
Tennessee,49.18,,,,,
North Carolina,49.02,,,,,
District of Columbia,47.65,,,,,
Washington,47.56,,,,,
Arkansas,47.22,,,,,
Kansas,47.20,,,,,
Ohio,47.10,,,,,
Missouri,46.32,,,,,
Georgia,46.07,,,,,
Idaho,45.22,,,,,
Michigan,44.12,,,,,
Nevada,44.01,,,,,
California,43.17,,,,,
Hawaii,42.42,,,,,
Alabama,39.81,,,,,
Mississippi,38.65,,,,,
Oregon,38.07,,,,,
Oklahoma,38.01,,,,,
South Carolina,37.31,,,,,
West Virginia,37.18,,,,,
Arizona,35.11,,,,,
Louisiana,34.09,,,,,
Alaska,33.05,,,,,
New Mexico,26.07,,,,,
